(12, 70, 131)
(12, 71, 75)
(12, 72, 75)
(12, 73, 75)
(12, 75, 79)
(12, 75, 85)
(12, 75, 86)
(12, 75, 89)
(12, 75, 90)
(12, 75, 92)
(12, 75, 94)
(12, 75, 97)
(12, 75, 100)
(12, 75, 102)
(12, 75, 103)
(12, 75, 105)
(12, 75, 106)
(12, 75, 107)
(12, 75, 108)
(12, 75, 109)
(12, 75, 112)
(12, 75, 114)
(12, 75, 119)
(12, 75, 120)
(12, 75, 121)
(12, 75, 122)
(12, 75, 123)
(12, 75, 126)
(12, 75, 129)
(12, 75, 130)
(12, 75, 131)
(12, 75, 132)
(12, 75, 135)
(12, 75, 137)
(12, 75, 138)
(12, 75, 140)
(12, 75, 141)
(12, 75, 142)
(12, 75, 143)
(12, 75, 145)
(12, 75, 147)
(12, 75, 150)
(12, 75, 153)
(12, 75, 156)
(12, 75, 157)
(12, 75, 158)
(12, 127, 141)
(13, 14, 70)
(13, 15, 20)
(13, 15, 70)
(13, 17, 70)
(13, 19, 70)
(13, 20, 26)
(13, 21, 70)
(13, 22, 70)
(13, 23, 70)
(13, 23, 95)
(13, 24, 70)
(13, 25, 70)
(13, 26, 70)
(13, 27, 70)
(13, 28, 70)
(13, 29, 70)
(13, 30, 70)
(13, 30, 104)
(13, 31, 70)
(13, 32, 70)
(13, 34, 56)
(13, 34, 70)
(13, 35, 70)
(13, 36, 70)
(13, 37, 70)
(13, 38, 70)
(13, 40, 70)
(13, 40, 152)
(13, 41, 70)
(13, 42, 70)
(13, 43, 70)
(13, 44, 70)
(13, 45, 70)
(13, 46, 70)
(13, 47, 70)
(13, 48, 70)
(13, 49, 70)
(13, 50, 70)
(13, 51, 70)
(13, 52, 70)
(13, 53, 70)
(13, 54, 70)
(13, 55, 70)
(13, 56, 70)
(13, 57, 70)
(13, 58, 70)
(13, 59, 70)
(13, 60, 70)
(13, 61, 70)
(13, 62, 70)
(13, 63, 70)
(13, 64, 70)
(13, 65, 70)
(13, 66, 70)
(13, 67, 70)
(13, 68, 70)
(13, 69, 70)
(13, 70, 71)
(13, 70, 73)
(13, 70, 74)
(13, 70, 75)
(13, 70, 77)
(13, 70, 78)
(13, 70, 79)
(13, 70, 80)
(13, 70, 81)
(13, 70, 82)
(13, 70, 83)
(13, 70, 84)
(13, 70, 85)
(13, 70, 86)
(13, 70, 87)
(13, 70, 88)
(13, 70, 89)
(13, 70, 90)
(13, 70, 91)
(13, 70, 92)
(13, 70, 93)
